date,province,recovered
2020-01-25,Alberta,0
2020-01-26,Alberta,0
2020-01-27,Alberta,0
2020-01-28,Alberta,0
2020-01-29,Alberta,0
2020-01-30,Alberta,0
2020-01-31,Alberta,0
2020-02-01,Alberta,0
2020-02-02,Alberta,0
2020-02-03,Alberta,0
2020-02-04,Alberta,0
2020-02-05,Alberta,0
2020-02-06,Alberta,0
2020-02-07,Alberta,0
2020-02-08,Alberta,0
2020-02-09,Alberta,0
2020-02-10,Alberta,0
2020-02-11,Alberta,0
2020-02-12,Alberta,0
2020-02-13,Alberta,0
2020-02-14,Alberta,0
2020-02-15,Alberta,0
2020-02-16,Alberta,0
2020-02-17,Alberta,0
2020-02-18,Alberta,0
2020-02-19,Alberta,0
2020-02-20,Alberta,0
2020-02-21,Alberta,0
2020-02-22,Alberta,0
2020-02-23,Alberta,0
2020-02-24,Alberta,0
2020-02-25,Alberta,0
2020-02-26,Alberta,0
2020-02-27,Alberta,0
2020-02-28,Alberta,0
2020-02-29,Alberta,0
2020-03-01,Alberta,0
2020-03-02,Alberta,0
2020-03-03,Alberta,0
2020-03-04,Alberta,0
2020-03-05,Alberta,0
2020-03-06,Alberta,0
2020-03-07,Alberta,0
2020-03-08,Alberta,0
2020-03-09,Alberta,0
2020-03-10,Alberta,0
2020-03-11,Alberta,0
2020-03-12,Alberta,0
2020-03-13,Alberta,0
2020-03-14,Alberta,0
2020-03-15,Alberta,0
2020-03-16,Alberta,0
2020-03-17,Alberta,0
2020-03-18,Alberta,0
2020-03-19,Alberta,3
2020-03-20,Alberta,4
2020-03-21,Alberta,4
2020-03-22,Alberta,4
2020-03-23,Alberta,4
2020-03-24,Alberta,5
2020-03-25,Alberta,5
2020-03-26,Alberta,29
2020-03-27,Alberta,35
2020-03-28,Alberta,55
2020-03-29,Alberta,76
2020-03-30,Alberta,102
2020-03-31,Alberta,129
2020-04-01,Alberta,153
2020-04-02,Alberta,187
2020-04-03,Alberta,214
2020-04-04,Alberta,216
2020-04-05,Alberta,302
2020-04-06,Alberta,385
2020-04-07,Alberta,473
2020-04-08,Alberta,548
2020-04-09,Alberta,624
2020-04-10,Alberta,752
2020-04-11,Alberta,814
2020-04-12,Alberta,867
2020-04-13,Alberta,923
2020-04-14,Alberta,962
2020-04-15,Alberta,962
2020-04-16,Alberta,964
2020-04-17,Alberta,1174
2020-01-25,BC,0
2020-01-26,BC,0
2020-01-27,BC,0
2020-01-28,BC,0
2020-01-29,BC,0
2020-01-30,BC,0
2020-01-31,BC,0
2020-02-01,BC,0
2020-02-02,BC,0
2020-02-03,BC,0
2020-02-04,BC,0
2020-02-05,BC,0
2020-02-06,BC,0
2020-02-07,BC,0
2020-02-08,BC,0
2020-02-09,BC,0
2020-02-10,BC,0
2020-02-11,BC,0
2020-02-12,BC,0
2020-02-13,BC,0
2020-02-14,BC,0
2020-02-15,BC,0
2020-02-16,BC,0
2020-02-17,BC,0
2020-02-18,BC,0
2020-02-19,BC,1
2020-02-20,BC,1
2020-02-21,BC,1
2020-02-22,BC,1
2020-02-23,BC,1
2020-02-24,BC,1
2020-02-25,BC,4
2020-02-26,BC,4
2020-02-27,BC,4
2020-02-28,BC,4
2020-02-29,BC,4
2020-03-01,BC,4
2020-03-02,BC,4
2020-03-03,BC,4
2020-03-04,BC,4
2020-03-05,BC,4
2020-03-06,BC,4
