province,date,deaths
Alberta,2020-01-25,0
Alberta,2020-01-26,0
Alberta,2020-01-27,0
Alberta,2020-01-28,0
Alberta,2020-01-29,0
Alberta,2020-01-30,0
Alberta,2020-01-31,0
Alberta,2020-02-01,0
Alberta,2020-02-02,0
Alberta,2020-02-03,0
Alberta,2020-02-04,0
Alberta,2020-02-05,0
Alberta,2020-02-06,0
Alberta,2020-02-07,0
Alberta,2020-02-08,0
Alberta,2020-02-09,0
Alberta,2020-02-10,0
Alberta,2020-02-11,0
Alberta,2020-02-12,0
Alberta,2020-02-13,0
Alberta,2020-02-14,0
Alberta,2020-02-15,0
Alberta,2020-02-16,0
Alberta,2020-02-17,0
Alberta,2020-02-18,0
Alberta,2020-02-19,0
Alberta,2020-02-20,0
Alberta,2020-02-21,0
Alberta,2020-02-22,0
Alberta,2020-02-23,0
Alberta,2020-02-24,0
Alberta,2020-02-25,0
Alberta,2020-02-26,0
Alberta,2020-02-27,0
Alberta,2020-02-28,0
Alberta,2020-02-29,0
Alberta,2020-03-01,0
Alberta,2020-03-02,0
Alberta,2020-03-03,0
Alberta,2020-03-04,0
Alberta,2020-03-05,0
Alberta,2020-03-06,0
Alberta,2020-03-07,0
Alberta,2020-03-08,0
Alberta,2020-03-09,0
Alberta,2020-03-10,0
Alberta,2020-03-11,0
Alberta,2020-03-12,0
Alberta,2020-03-13,0
Alberta,2020-03-14,0
Alberta,2020-03-15,0
Alberta,2020-03-16,0
Alberta,2020-03-17,0
Alberta,2020-03-18,0
Alberta,2020-03-19,1
Alberta,2020-03-20,1
Alberta,2020-03-21,1
Alberta,2020-03-22,1
Alberta,2020-03-23,1
Alberta,2020-03-24,2
Alberta,2020-03-25,2
Alberta,2020-03-26,2
Alberta,2020-03-27,2
Alberta,2020-03-28,2
Alberta,2020-03-29,3
Alberta,2020-03-30,8
Alberta,2020-03-31,9
Alberta,2020-04-01,11
Alberta,2020-04-02,13
Alberta,2020-04-03,18
Alberta,2020-04-04,20
Alberta,2020-04-05,23
Alberta,2020-04-06,24
Alberta,2020-04-07,26
Alberta,2020-04-08,29
Alberta,2020-04-09,32
Alberta,2020-04-10,39
