date,province,recovered
2020-01-25,Alberta,0
2020-01-26,Alberta,0
2020-01-27,Alberta,0
2020-01-28,Alberta,0
2020-01-29,Alberta,0
2020-01-30,Alberta,0
2020-01-31,Alberta,0
2020-02-01,Alberta,0
2020-02-02,Alberta,0
2020-02-03,Alberta,0
2020-02-04,Alberta,0
2020-02-05,Alberta,0
2020-02-06,Alberta,0
2020-02-07,Alberta,0
2020-02-08,Alberta,0
2020-02-09,Alberta,0
2020-02-10,Alberta,0
2020-02-11,Alberta,0
2020-02-12,Alberta,0
2020-02-13,Alberta,0
2020-02-14,Alberta,0
2020-02-15,Alberta,0
2020-02-16,Alberta,0
2020-02-17,Alberta,0
2020-02-18,Alberta,0
2020-02-19,Alberta,0
2020-02-20,Alberta,0
2020-02-21,Alberta,0
2020-02-22,Alberta,0
2020-02-23,Alberta,0
2020-02-24,Alberta,0
2020-02-25,Alberta,0
2020-02-26,Alberta,0
2020-02-27,Alberta,0
2020-02-28,Alberta,0
2020-02-29,Alberta,0
2020-03-01,Alberta,0
2020-03-02,Alberta,0
2020-03-03,Alberta,0
2020-03-04,Alberta,0
2020-03-05,Alberta,0
2020-03-06,Alberta,0
2020-03-07,Alberta,0
2020-03-08,Alberta,0
2020-03-09,Alberta,0
2020-03-10,Alberta,0
2020-03-11,Alberta,0
2020-03-12,Alberta,0
2020-03-13,Alberta,0
2020-03-14,Alberta,0
2020-03-15,Alberta,0
2020-03-16,Alberta,0
2020-03-17,Alberta,0
2020-03-18,Alberta,0
2020-03-19,Alberta,2
2020-03-20,Alberta,3
2020-03-21,Alberta,3
2020-03-22,Alberta,3
2020-03-23,Alberta,3
2020-03-24,Alberta,3
2020-03-25,Alberta,3
2020-03-26,Alberta,27
2020-03-27,Alberta,33
2020-03-28,Alberta,53
2020-03-29,Alberta,73
2020-03-30,Alberta,94
2020-03-31,Alberta,120
2020-04-01,Alberta,142
2020-04-02,Alberta,174
2020-04-03,Alberta,196
2020-04-04,Alberta,196
2020-04-05,Alberta,279
2020-04-06,Alberta,361
2020-04-07,Alberta,447
2020-04-08,Alberta,519
2020-04-09,Alberta,592
2020-04-10,Alberta,713
2020-04-11,Alberta,774
2020-04-12,Alberta,823
2020-04-13,Alberta,877
2020-04-14,Alberta,914
2020-04-15,Alberta,914
2020-04-16,Alberta,914
2020-04-17,Alberta,1124
2020-01-25,BC,0
2020-01-26,BC,0
2020-01-27,BC,0
2020-01-28,BC,0
2020-01-29,BC,0
2020-01-30,BC,0
2020-01-31,BC,0
2020-02-01,BC,0
2020-02-02,BC,0
2020-02-03,BC,0
2020-02-04,BC,0
2020-02-05,BC,0
2020-02-06,BC,0
2020-02-07,BC,0
2020-02-08,BC,0
2020-02-09,BC,0
2020-02-10,BC,0
2020-02-11,BC,0
2020-02-12,BC,0
2020-02-13,BC,0
2020-02-14,BC,0
2020-02-15,BC,0
2020-02-16,BC,0
2020-02-17,BC,0
2020-02-18,BC,0
2020-02-19,BC,1
2020-02-20,BC,1
2020-02-21,BC,1
2020-02-22,BC,1
2020-02-23,BC,1
2020-02-24,BC,1
2020-02-25,BC,4
2020-02-26,BC,4
2020-02-27,BC,4
2020-02-28,BC,4
2020-02-29,BC,4
2020-03-01,BC,4
2020-03-02,BC,4
2020-03-03,BC,4
2020-03-04,BC,4
2020-03-05,BC,4
2020-03-06,BC,4
